--- 1 ---
(45) 0: -97
(46) 0: -93
(47) 0: -95
(48) 0: -94
(49) 0: -93
(50) 0: -91
(51) 0: -89
(52) 0: -92
(53) 0: -96
(54) 0: -97
(55) 0: -96
(56) 0: -92
(57) 0: -97
(58) 0: -93
(59) 0: -95
(60) 0: -95
(61) 0: -95
(62) 0: -95
(63) 0: -95
(64) 0: -91
(65) 0: -94
(66) 0: -95
(67) 0: -94
(68) 0: -97
(69) 0: -94
(70) 0: -94
(71) 0: -92
(72) 0: -90
(73) 0: -94
(74) 0: -91
(75) 0: -95
(76) 0: -98
(77) 0: -94
(78) 0: -94
(79) 0: -96
(80) 0: -95
(81) 0: -98
(82) 0: -95
(83) 0: -94
(84) 0: -94
(85) 0: -94
(86) 0: -94
(87) 0: -96
(88) 0: -91
(89) 0: -95
(90) 0: -92
(91) 0: -94
(92) 0: -91
(93) 0: -96
(94) 0: -92
(95) 0: -95
(96) 0: -96
(97) 0: -95
(98) 0: -96
(99) 0: -94
(100) 0:-96
--- 9 ---
 (1) 0: -95
 (2) 0: -95
 (3) 0: -94
 (4) 0: -95
 (5) 0: -93
 (6) 0: -94
 (7) 0: -95
 (8) 0: -94
 (9) 0: -95
(10) 0: -92
(11) 0: -97
(12) 0: -97
(13) 0: -97
(14) 0: -92
(15) 0: -95
(16) 0: -89
(17) 0: -95
(18) 0: -90
(19) 0: -96
(20) 0: -95
(21) 0: -93
(22) 0: -93
(23) 0: -94
(24) 0: -93
(25) 0: -96
(26) 0: -96
(27) 0: -97
(28) 0: -94
(29) 0: -95
(30) 0: -97
(31) 0: -93
(32) 0: -93
(33) 0: -95
(34) 0: -93
(35) 0: -95
(36) 0: -97
(37) 0: -95
(38) 0: -95
(39) 0: -95
(40) 0: -95
(41) 0: -95
(42) 0: -97
(43) 0: -94
(44) 0: -96
(45) 0: -93
(46) 0: -95
(47) 0: -95
(48) 0: -93
(49) 0: -99
(50) 0: -94
(51) 0: -95
(52) 0: -94
(53) 0: -94
(54) 0: -94
(55) 0: -94
(56) 0: -90
(57) 0: -95
(58) 0: -94
(59) 0: -94
(60) 0: -94
(61) 0: -92
(62) 0: -94
(63) 0: -94
(64) 0: -97
(65) 0: -93
(66) 0: -92
(67) 0: -98
(68) 0: -95
(69) 0: -95
(70) 0: -95
(71) 0: -95
(72) 0: -95
(73) 0: -96
(74) 0: -96
(75) 0: -96
(76) 0: -98
(77) 0: -100
(78) 0: -94
(79) 0: -97
(80) 0: -96
(81) 0: -95
(82) 0: -94
(83) 0: -97
(84) 0: -96
(85) 0: -94
(86) 0: -91
(87) 0: -95
(88) 0: -93
(89) 0: -94
(90) 0: -93
(91) 0: -96
(92) 0: -97
(93) 0: -96
(94) 0: -98
(95) 0: -94
(96) 0: -96
(97) 0: -95
(98) 0: -91
(99) 0: -94
(100) 0:-96
--- 10 ---
 (1) 0: -95
 (2) 0: -91
 (3) 0: -95
 (4) 0: -93
 (5) 0: -96
 (6) 0: -95
 (7) 0: -94
 (8) 0: -94
 (9) 0: -94
(10) 0: -98
(11) 0: -95
(12) 0: -97
(13) 0: -89
(14) 0: -94
(15) 0: -98
(16) 0: -97
(17) 0: -93
(18) 0: -92
(19) 0: -96
(20) 0: -91
(21) 0: -95
(22) 0: -94
(23) 0: -97
(24) 0: -94
(25) 0: -96
(26) 0: -93
(27) 0: -96
(28) 0: -92
(29) 0: -95
(30) 0: -96
(31) 0: -95
(32) 0: -95
(33) 0: -95
(34) 0: -91
(35) 0: -95
(36) 0: -97
(37) 0: -96
(38) 0: -95
(39) 0: -95
(40) 0: -95
(41) 0: -94
(42) 0: -95
(43) 0: -95
(44) 0: -93
(45) 0: -93
(46) 0: -91
(47) 0: -95
(48) 0: -94
(49) 0: -94
(50) 0: -97
(51) 0: -96
(52) 0: -94
(53) 0: -95
(54) 0: -96
(55) 0: -95
(56) 0: -93
(57) 0: -94
(58) 0: -95
(59) 0: -94
(60) 0: -94
(61) 0: -93
(62) 0: -94
(63) 0: -94
(64) 0: -89
(65) 0: -95
(66) 0: -97
(67) 0: -96
(68) 0: -94
(69) 0: -96
(70) 0: -96
(71) 0: -90
(72) 0: -93
(73) 0: -96
(74) 0: -94
(75) 0: -95
(76) 0: -96
(77) 0: -94
(78) 0: -96
(79) 0: -93
(80) 0: -95
(81) 0: -94
(82) 0: -91
(83) 0: -92
(84) 0: -97
(85) 0: -96
(86) 0: -94
(87) 0: -96
(88) 0: -97
(89) 0: -95
(90) 0: -95
(91) 0: -91
(92) 0: -95
(93) 0: -95
(94) 0: -91
(95) 0: -94
(96) 0: -94
(97) 0: -97
(98) 0: -96
(99) 0: -93
(100) 0:-96
